Dataset,Algorithm,k,ef,IS_MB,NMCS,IT_s,Recall,Pruning
audio,DAP_k10_th6.524,100,200,24.5381,1340.73,2.24479,0.9908,0.567295
audio,DAP_k20_th0.482,100,200,24.5386,1340.88,2.19759,0.9904,0.568306
audio,DAP_k50_th2.373,50,200,24.5453,1343.03,2.2099,0.9948,0.564254
audio,DAP_k100_th0.624,100,200,24.5362,1342.38,2.38364,0.9907,0.56411
audio,DAP_k10_th0.458,100,200,24.5327,1342.86,2.35596,0.9918,0.569583
audio,DAP_k20_th0.655,100,200,24.5418,1343.67,2.34032,0.9911,0.565064
audio,DAP_k50_th0.714,50,200,24.5476,1346.07,2.28788,0.9932,0.566078
audio,DAP_k100_th0.657,100,200,24.5494,1341.26,2.31557,0.9904,0.56807
audio,DAP_k10_th1.050,100,200,24.5367,1342.78,2.40088,0.9903,0.570138
audio,DAP_k20_th0.681,100,200,24.5392,1340.65,2.33646,0.992,0.566852
audio,DAP_k50_th3.566,50,200,24.5285,1340.87,2.29476,0.9946,0.567109
audio,DAP_k100_th1.256,100,200,24.5289,1341.09,2.33387,0.9906,0.562371
audio,DAP_k10_th3.492,100,200,24.5404,1341.98,2.25464,0.9916,0.569189
audio,DAP_k20_th2.864,100,200,24.5353,1342.21,2.32858,0.9907,0.563138
audio,DAP_k50_th2.069,50,200,24.5427,1342.36,2.25323,0.9942,0.566085
audio,DAP_k100_th0.483,100,200,24.5288,1345.04,2.36249,0.9922,0.565931
mnist,DAP_k10_th7257697.000,100,200,27.7738,1071.74,3.09401,0.9939,0.502613
mnist,DAP_k20_th4661106.000,100,200,27.7725,1068.67,3.47509,0.9937,0.504702
mnist,DAP_k50_th6532147.000,50,200,27.7764,1069.39,3.28006,0.9974,0.503053
mnist,DAP_k100_th3858976.000,100,200,27.7685,1069.42,3.35967,0.9931,0.501001
mnist,DAP_k10_th3802664.000,100,200,27.766,1067.7,3.31253,0.9942,0.497546
mnist,DAP_k20_th5451846.000,100,200,27.7715,1069.9,3.32129,0.9937,0.500439
mnist,DAP_k50_th5111977.000,50,200,27.7654,1072.71,3.28113,0.9972,0.49732
mnist,DAP_k100_th7019391.000,100,200,27.7836,1072.4,3.36806,0.9938,0.503674
mnist,DAP_k10_th1428255.000,100,200,27.7688,1070.05,3.3837,0.9934,0.500547
mnist,DAP_k20_th7473392.000,100,200,27.7727,1070.3,3.14292,0.9928,0.502289
mnist,DAP_k50_th6640512.000,50,200,27.7724,1071.39,3.28265,0.9986,0.499659
mnist,DAP_k100_th4136087.000,100,200,27.7693,1068.99,3.29662,0.9939,0.503363
mnist,DAP_k10_th2684978.000,100,200,27.7779,1071.86,3.32941,0.9942,0.500616
mnist,DAP_k20_th3700729.000,100,200,27.7728,1069.46,3.31186,0.9922,0.499018
mnist,DAP_k50_th4690592.000,50,200,27.7707,1072.04,3.44962,0.9982,0.501502
mnist,DAP_k100_th5006097.000,100,200,27.7664,1072.3,3.28771,0.9927,0.499851
