Dataset,Algorithm,k,ef,IS_MB,NMCS,IT_s,Recall,Pruning
audio,DAP_k10_th2.835,100,200,24.5382,1341.29,2.08812,0.9899,0.563972
audio,DAP_k20_th2.633,100,200,24.5258,1338.67,2.38028,0.9896,0.566712
audio,DAP_k50_th2.593,50,200,24.5464,1339.3,2.36409,0.995,0.565908
audio,DAP_k100_th2.289,100,200,24.5363,1343.84,2.31618,0.9928,0.566905
audio,DAP_k10_th1.317,100,200,24.5363,1338.46,2.20291,0.9902,0.566106
audio,DAP_k20_th1.294,100,200,24.532,1342.24,2.21264,0.9883,0.565271
audio,DAP_k50_th3.084,50,200,24.5242,1337.59,2.27602,0.9938,0.565278
audio,DAP_k100_th2.228,100,200,24.5415,1341.31,2.24913,0.9913,0.563807
audio,DAP_k10_th3.895,100,200,24.5383,1344.09,2.4035,0.9912,0.566339
audio,DAP_k20_th2.533,100,200,24.5458,1344.54,2.27258,0.9907,0.56519
audio,DAP_k50_th0.604,50,200,24.5195,1341.92,2.2418,0.9932,0.562738
audio,DAP_k100_th0.698,100,200,24.5441,1340.56,2.53921,0.9909,0.568904
audio,DAP_k10_th1.683,100,200,24.5389,1343.27,2.45475,0.9912,0.570168
audio,DAP_k20_th0.865,100,200,24.5331,1343.63,2.30897,0.9916,0.563384
audio,DAP_k50_th3.525,50,200,24.533,1344.9,2.32477,0.9946,0.565566
audio,DAP_k100_th1.332,100,200,24.527,1339.23,2.35475,0.9914,0.564451
audio,DAP_k10_th3.424,100,200,24.5477,1339.19,2.03283,0.9916,0.571032
audio,DAP_k20_th2.488,100,200,24.5445,1343.71,2.13224,0.9915,0.566871
audio,DAP_k50_th1.187,50,200,24.5411,1344.18,2.24666,0.994,0.564411
audio,DAP_k100_th3.088,100,200,24.5307,1339.9,2.24371,0.9921,0.565482
audio,DAP_k10_th1.779,100,200,24.5475,1342.47,2.24785,0.9933,0.568475
audio,DAP_k20_th1.624,100,200,24.5331,1339.43,2.40372,0.9908,0.566943
audio,DAP_k50_th3.059,50,200,24.5413,1346.58,2.31097,0.9946,0.566353
audio,DAP_k100_th0.971,100,200,24.5291,1341.72,2.33439,0.9914,0.568994
audio,DAP_k10_th1.453,100,200,24.5425,1340.17,2.38355,0.9919,0.567547
audio,DAP_k20_th3.119,100,200,24.536,1340.71,2.72854,0.99,0.565782
audio,DAP_k50_th0.503,50,200,24.5325,1343.83,2.34425,0.9934,0.563717
audio,DAP_k100_th1.433,100,200,24.5382,1338.82,2.29974,0.9914,0.566088
audio,DAP_k10_th2.155,100,200,24.541,1341.41,2.35085,0.9919,0.565606
audio,DAP_k20_th1.873,100,200,24.5383,1343.32,2.38653,0.9907,0.565993
audio,DAP_k50_th2.943,50,200,24.5531,1340.61,2.61493,0.9936,0.566735
audio,DAP_k100_th2.583,100,200,24.5444,1342.04,2.46363,0.9919,0.568143
