Dataset,k,L,K,T,RATIO,RECALL,AVG_TIME,COST,DATE
audio,50,2,18,0,1.00016,0.9942,0.61063,0.0263593,883.137,
audio,50,2,18,0,1.00015,0.9942,0.53489,0.0263576,1318.44,
audio,50,2,18,0,1.0002,0.9928,0.25759,0.026441,1318.5,
mnist,50,2,18,0,1.00003,0.9986,0.46213,0.019591,1318.5,
mnist,50,2,18,0,1.00002,0.9988,0.49718,0.0196048,1318.51,
audio,50,2,18,0,1.00014,0.9936,0.40406,0.0263584,1322.6,
audio,50,2,18,0,1.00013,0.995,0.72943,0.0263951,1322.62,
audio,1,2,18,24,1,1,0.47383,0.020375,1322.64,
audio,10,2,18,24,1,1,0.59886,0.0211955,1322.64,
audio,20,2,18,24,1.00002,0.9975,0.48399,0.0221169,1322.64,
audio,30,2,18,24,1.00003,0.997667,0.6319,0.0230402,1322.64,
audio,40,2,18,24,1.00005,0.99625,0.52854,0.0239163,1322.64,
audio,50,2,18,24,1.00008,0.9954,0.76959,0.0247648,1322.64,
audio,60,2,18,24,1.0001,0.995167,0.63054,0.0256336,1322.64,
audio,70,2,18,24,1.00011,0.995286,0.68902,0.0265399,1322.64,
audio,80,2,18,24,1.0001,0.995625,0.78862,0.0273859,1322.64,
audio,90,2,18,24,1.00011,0.994778,0.62847,0.0282416,1322.64,
audio,100,2,18,24,1.0001,0.9954,0.71855,0.0290959,1322.64,
audio,100,2,18,0,1.00016,0.9916,0.51382,0.0263626,1322.64,
audio,1,2,18,24,1,1,0.58474,0.020415,1322.64,
audio,10,2,18,24,1,1,0.45873,0.0212324,1322.64,
audio,20,2,18,24,1.00005,0.996,0.63358,0.0221645,1322.64,
audio,30,2,18,24,1.00009,0.995667,0.57912,0.0230688,1322.64,
audio,40,2,18,24,1.0001,0.995,0.59896,0.0239593,1322.64,
audio,50,2,18,24,1.00011,0.9938,0.71548,0.0248152,1322.64,
audio,60,2,18,24,1.00013,0.993667,0.71394,0.0256744,1322.64,
audio,70,2,18,24,1.00015,0.993857,0.65566,0.0265337,1322.64,
audio,80,2,18,24,1.00015,0.994125,0.63676,0.0273726,1322.64,
audio,90,2,18,24,1.00016,0.993778,0.74964,0.0282392,1322.64,
audio,100,2,18,24,1.00015,0.9945,0.82421,0.0291288,1322.64,
audio,100,2,18,0,1.00025,0.9903,0.51176,0.0263375,1322.64,
audio,50,2,18,0,1.0001,0.9952,0.5638,0.0264255,1322.64,
audio,1,2,18,24,1,1,0.56192,0.020437,1322.64,
audio,10,2,18,24,1.00005,0.998,0.50705,0.0212416,1322.64,
audio,20,2,18,24,1.00008,0.997,0.51177,0.0221409,1322.64,
